,Main_Topics,Higher_Weighted_Article
0,Media* (0.14) / Sports (0.06) / Films (0.07) ,Stevie Ray Vaughan (1129)
1,Media* (0.18) / Music (0.08) / Performing_arts (0.06) ,Maria (West Side Story song) (1957)
2,Media* (0.16) / Music (0.11) / Business_and_economics (0.03) ,Shady XV (2587)
3,Politics_and_government (0.11) / Society (0.03) / Military_and_warfare (0.03) ,Secretary-General of the United Nations (3586)
4,Sports (0.26) / Society (0.01) / Technology (0.0) ,Asian Athletics Championships (12788)
5,Media* (0.17) / Films (0.11) / Society (0.02) ,Billionaire Boys Club (2018 film) (716)
6,Politics_and_government (0.09) / Military_and_warfare (0.07) / Media* (0.04) ,John McCain (66482)
7,Media* (0.19) / Entertainment (0.09) / Television (0.07) ,South Park (3245)
8,Media* (0.21) / Music (0.09) / Films (0.1) ,GHV2 (7696)
9,Earth_and_environment (0.06) / Sports (0.07) / Media* (0.03) ,Hurricane Iselle (499)
10,Media* (0.23) / Music (0.18) / Society (0.1) ,MTV Video Music Award for Best Pop Video (4705)
11,Sports (0.15) / Media* (0.07) / Politics_and_government (0.04) ,Madden NFL (1418)
12,Transportation (0.09) / Politics_and_government (0.09) / Sports (0.04) ,New York City Transit Authority (4)
13,Sports (0.16) / Transportation (0.05) / Engineering (0.04) ,Barry Sanders (616)
14,Sports (0.26) / Business_and_economics (0.01) / Media* (0.01) ,Rugby league (11998)
15,Sports (0.31) / Video_games (0.01) / Internet_culture (0.01) ,2018 Toronto FC season (255)
16,Sports (0.25) / Society (0.02) / Military_and_warfare (0.01) ,2018–19 Red Star Belgrade season (24896)
17,Politics_and_government (0.12) / Media* (0.03) / Sports (0.02) ,Commonwealth Liberal Party (5160)
18,Politics_and_government (0.09) / Military_and_warfare (0.04) / Philosophy_and_religion (0.01) ,Bharatiya Janata Party (6879)
19,Politics_and_government (0.11) / Military_and_warfare (0.04) / Society (0.03) ,Val Demings (8017)
20,Sports (0.27) / Education (0.01) / Media* (0.01) ,Ryan Hunter-Reay (2567)
21,Media* (0.1) / Military_and_warfare (0.07) / Transportation (0.05) ,American Pop (71)
22,Politics_and_government (0.13) / Business_and_economics (0.04) / Media* (0.06) ,Federal Election Commission (1678)
23,Sports (0.18) / Medicine_&_Health (0.02) / Architecture (0.01) ,The Football Association (1651)
24,Military_and_warfare (0.03) / Media* (0.06) / Sports (0.04) ,Fort Mims massacre (32)
25,Media* (0.22) / Music (0.19) / Society (0.02) ,Soul music (21874)
26,Sports (0.25) / Politics_and_government (0.01) / Society (0.0) ,List of foreign Premier League goalscorers (7774)
27,Sports (0.22) / Society (0.02) / Transportation (0.0) ,2015 US Open (tennis) (22650)
28,Sports (0.29) / Media* (0.03) / Television (0.01) ,2018 Big Ten Conference football season (10299)
29,Sports (0.26) / Linguistics (0.01) / Society (0.01) ,List of foreign Serie A players (6906)
30,Sports (0.21) / Transportation (0.04) / Engineering (0.04) ,Circuit de Barcelona-Catalunya (3226)
31,Sports (0.21) / History (0.0) / Society (0.0) ,Mohammad Ahsan (5533)
32,Society (0.06) / History (0.04) / Biology (0.03) ,Hominini (1350)
33,Sports (0.07) / Media* (0.01) / Biography* (0.43) ,David Parkin (10)
34,Media* (0.25) / Music (0.24) / Entertainment (0.01) ,Never Fade (Alice in Chains song) (347)
35,Politics_and_government (0.09) / Military_and_warfare (0.05) / Business_and_economics (0.06) ,Politics of Argentina (88)
36,Politics_and_government (0.1) / Society (0.06) / Military_and_warfare (0.04) ,Communist Party of Czechoslovakia (922)
37,History (0.08) / Military_and_warfare (0.09) / Media* (0.02) ,Robert the Bruce (660)
38,Media* (0.16) / Literature (0.09) / Entertainment (0.06) ,Connie Willis (639)
39,Media* (0.09) / Television (0.05) / History (0.05) ,LazyTown (421)
40,Media* (0.16) / Television (0.13) / Entertainment (0.13) ,Psycho Clown (2764)
41,Politics_and_government (0.04) / Technology (0.05) / Society (0.02) ,Daylight saving time (721)
42,Sports (0.26) / Media* (0.06) / Television (0.02) ,1992 Little League World Series (3810)
43,Sports (0.22) / Media* (0.01) / Films (0.0) ,Tackle (football move) (2223)
44,Music (0.31) / Media* (0.31) / Sports (0.01) ,UK Albums Chart (3036)
45,History (0.08) / Philosophy_and_religion (0.07) / Military_and_warfare (0.05) ,Siege of Jerusalem (70 CE) (654)
46,Sports (0.2) / Music (0.09) / Media* (0.09) ,Derek Rivers (393)
47,Media* (0.19) / Music (0.07) / Video_games (0.03) ,God & Guns (2588)
48,Biology (0.22) / Medicine_&_Health (0.03) / Technology (0.02) ,Family (biology) (219)
49,Media* (0.18) / Films (0.12) / Performing_arts (0.07) ,Broadway Bound (film) (4743)
50,Media* (0.05) / Military_and_warfare (0.06) / Politics_and_government (0.06) ,Miami Herald (444)
51,Business_and_economics (0.08) / Politics_and_government (0.11) / Education (0.06) ,Advocacy group (61)
52,Sports (0.15) / Media* (0.06) / Music (0.02) ,Don Bradman (3295)
53,Sports (0.14) / Media* (0.08) / Films (0.03) ,USA Gymnastics (734)
54,Philosophy_and_religion (0.1) / History (0.06) / Politics_and_government (0.05) ,Carlo Maria Viganò (3133)
55,Politics_and_government (0.05) / Media* (0.06) / Films (0.05) ,Telugu Desam Party (534)
56,Sports (0.26) / Politics_and_government (0.0) / Northern_Europe (0.13) ,2017–18 Bolton Wanderers F.C. season (544)
57,Sports (0.26) / History (0.01) / Media* (0.01) ,San Antonio Spurs (3986)
58,Visual_arts* (0.15) / Fashion (0.13) / Military_and_warfare (0.05) ,Tutu (clothing) (77)
59,Sports (0.06) / Politics_and_government (0.06) / Media* (0.05) ,Karen Carney (382)
60,Music (0.5) / Media* (0.5) ,Hit n Run Phase One (398)
61,Military_and_warfare (0.18) / Transportation (0.08) / History (0.07) ,Tegetthoff-class battleship (214)
62,Education (0.17) / Politics_and_government (0.04) / Business_and_economics (0.03) ,London Metropolitan University (422)
63,Earth_and_environment (0.07) / Politics_and_government (0.08) / History (0.03) ,1992 Landers earthquake (144)
64,Military_and_warfare (0.13) / Society (0.1) / Transportation (0.06) ,Northern Fleet (91)
65,Media* (0.25) / Music (0.2) / Architecture (0.05) ,One on One (tour) (90)
66,Media* (0.38) / Music (0.37) / Television (0.02) ,King of Pop (album) (794)
67,Media* (0.16) / Television (0.13) / Entertainment (0.06) ,The Big Bang Theory (110)
68,History (0.16) / Military_and_warfare (0.06) / Philosophy_and_religion (0.03) ,Kamehameha I (19)
